Facility Name,Location Type,Operator,Status,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Location
Grand Central Parkway Gas,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.765016,-73.861689,POINT (-73.861689 40.765016)
Herald Square,Park,34th Street Partnership,Operational,Year Round,8am-9pm,Fully Accessible,Multi-Stall All Gender Restrooms,,,,40.750455,-73.987505,POINT (-73.987505 40.750455)
North Rochdale Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.680069,-73.775129,POINT (-73.775129 40.680069)
Bayside Fields,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.773053,-73.78496,POINT (-73.78496 40.773053)
"Starvos Niarchos Foundation Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 8:00 am - 9:00 pm 
Tuesday: 8:00 am - 9:00 pm 
Wednesday: 8:00 am - 9:00 pm 
Thursday: 8:00 am - 9:00 pm  
Friday: 8:00 am - 9:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/snfl,40.7519,-73.9817,POINT (-73.9817 40.7519)
Redfern Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.611049,-73.749098,POINT (-73.749098 40.611049)
"Kensington Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,The restrooms have a free feminine hygiene product dispenser.,https://www.bklynlibrary.org/locations/kensington,40.6313,-73.975437,POINT (-73.975437 40.6313)
"Howard Beach Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/Howard-Beach/,40.663819,-73.841804,POINT (-73.841804 40.663819)
Cypress Hills Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.670751,-73.871083,POINT (-73.871083 40.670751)
McKinley Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.724269,-73.985628,POINT (-73.985628 40.724269)
"West Farms Library, NYPL",Library,NYPL,Closed for Construction,Future,,,,,,https://www.nypl.org/locations/west-farms,40.844653,-73.883013,POINT (-73.883013 40.844653)
Marconi Park,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.693294,-73.795584,POINT (-73.795584 40.693294)
Bushwick Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.701712,-73.939483,POINT (-73.939483 40.701712)
Cherry Tree Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.787168,-73.947233,POINT (-73.947233 40.787168)
Hunters Point South,Park,Building management,Operational,Year Round,,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.738411,-73.960924,POINT (-73.960924 40.738411)
Drew Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.832982,-73.903326,POINT (-73.903326 40.832982)
Van Cortlandt Pool,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.890661,-73.897424,POINT (-73.897424 40.890661)
"St. George Library Center, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm  
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/st-george-library-center,40.641808,-74.07668,POINT (-74.07668 40.641808)
Crotona Park Indoor Tennis,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.839595,-73.895042,POINT (-73.895042 40.839595)
Fermi Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.700313,-73.928534,POINT (-73.928534 40.700313)
Forest Park Golf Course,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.699719,-73.86408,POINT (-73.86408 40.699719)
"Edenwald Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/edenwald,40.888903,-73.840839,POINT (-73.840839 40.888903)
"St. Agnes Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 6:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/st-agnes,40.784843,-73.977454,POINT (-73.977454 40.784843)
Northern Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.756285,-73.874495,POINT (-73.874495 40.756285)
Castle Clinton National Monument,Park,The Battery Conservancy,Operational,Year Round,9am - 4:30pm,,,,,,40.703407,-74.016429,POINT (-74.016429 40.703407)
Louis Pasteur Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.761764,-73.735398,POINT (-73.735398 40.761764)
Carver Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.680447,-73.920513,POINT (-73.920513 40.680447)
"Corona Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/corona,40.750902,-73.861978,POINT (-73.861978 40.750902)
Soundview Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.818019,-73.870393,POINT (-73.870393 40.818019)
Bill Rainey Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.818759,-73.898325,POINT (-73.898325 40.818759)
DiGilio Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.632764,-73.97727,POINT (-73.97727 40.632764)
Coney Island Beach Zone 2a,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.574934,-73.959762,POINT (-73.959762 40.574934)
Playground Eighty LXXX,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.744859,-73.709589,POINT (-73.709589 40.744859)
Bayview Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.634948,-73.887219,POINT (-73.887219 40.634948)
Ancient Playground,Park,Central Park Conservancy,Operational,Year Round,7am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.780996,-73.961592,POINT (-73.961592 40.780996)
Sol Lain Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.71441,-73.983979,POINT (-73.983979 40.71441)
E.M.T. Christopher J. Prescott Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.522489,-74.185827,POINT (-74.185827 40.522489)
Virginia Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.834325,-73.862182,POINT (-73.862182 40.834325)
Baruch Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.717221,-73.976921,POINT (-73.976921 40.717221)
Martin Van Buren Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.835128,-73.896207,POINT (-73.896207 40.835128)
Baisley Pond Park Zone 4,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.674641,-73.787828,POINT (-73.787828 40.674641)
"Brighton Beach Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/brighton-beach,40.576116,-73.966776,POINT (-73.966776 40.576116)
Little Flower Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.71258,-73.988577,POINT (-73.988577 40.71258)
Cedar Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.855276,-73.917529,POINT (-73.917529 40.855276)
Crowley Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.729314,-73.87985,POINT (-73.87985 40.729314)
Clove Lakes Park Zone 1,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.616551,-74.104616,POINT (-74.104616 40.616551)
Arverne East Nature Preserve,Park,Building management,Operational,Year Round,,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.592368,-73.775151,POINT (-73.775151 40.592368)
Clearview Cafe,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.786638,-73.792331,POINT (-73.792331 40.786638)
Millennium Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.635483,-74.019348,POINT (-74.019348 40.635483)
Teardrop Park - Solaire Building,Park,Battery Park City Authority,Operational,Year Round,,,,,,,40.716911,-74.016184,POINT (-74.016184 40.716911)
Juniper Valley Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.718758,-73.884557,POINT (-73.884557 40.718758)
Ciccarone Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.855901,-73.886586,POINT (-73.886586 40.855901)
Cunningham Park Zone 2,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.729649,-73.773627,POINT (-73.773627 40.729649)
De Witt Clinton Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.768206,-73.994637,POINT (-73.994637 40.768206)
Tilden Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.647904,-73.931386,POINT (-73.931386 40.647904)
"Coney Island Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/coney-island-library,40.576646,-73.986063,POINT (-73.986063 40.576646)
Plaza de Las Americas APT,Public Plaza,NYC DOT/JCDecaux,Operational,Year Round,8am-8pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,This unit costs $.25 to use.,https://portal.311.nyc.gov/article/?kanumber=KA-02226,40.84593,-73.937997,POINT (-73.937997 40.84593)
Monsignor Mcgolrick Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.724828,-73.943479,POINT (-73.943479 40.724828)
Fort Totten Park Zone 1,Park,NYC Parks,Not Operational,,,,,,,,40.795265,-73.777487,POINT (-73.777487 40.795265)
"Whitestone Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/whitestone,40.788549,-73.810703,POINT (-73.810703 40.788549)
Luther Gulick Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.71594,-73.981596,POINT (-73.981596 40.71594)
Mafera Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.706043,-73.891339,POINT (-73.891339 40.706043)
The Pearly Gates Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.838776,-73.845741,POINT (-73.845741 40.838776)
Willink Hill,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.662905,-73.963469,POINT (-73.963469 40.662905)
Payson Playground,Park,NYC Parks,Not Operational,,,,,,,,40.867414,-73.929054,POINT (-73.929054 40.867414)
Flushing Meadows Ice Rink,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.751909,-73.837891,POINT (-73.837891 40.751909)
"Hollis Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),No,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/hollis,40.720175,-73.762322,POINT (-73.762322 40.720175)
Athens Square,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.768009,-73.921874,POINT (-73.921874 40.768009)
Kaiser Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.578523,-73.995414,POINT (-73.995414 40.578523)
"Brownsville Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/brownsville,40.671535,-73.908605,POINT (-73.908605 40.671535)
Frederick Douglass Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.797007,-73.967677,POINT (-73.967677 40.797007)
Herbert Von King Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.689845,-73.946509,POINT (-73.946509 40.689845)
"Hamilton Grange Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 11:00 am - 6:00 pm 
Saturday: 11:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/hamilton-grange,40.825681,-73.948034,POINT (-73.948034 40.825681)
Gouverneur Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.83577,-73.903351,POINT (-73.903351 40.83577)
Frederick Johnson Playground,Park,NYC Parks,Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.824672,-73.934799,POINT (-73.934799 40.824672)
Pena Herrera Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.649389,-74.012122,POINT (-74.012122 40.649389)
Tiger Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.688027,-73.911172,POINT (-73.911172 40.688027)
Paerdegat Athletic Facility,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.626449,-73.901957,POINT (-73.901957 40.626449)
"Mapleton Library, BPL",Library,BPL,Closed for Construction,Year Round,,,,,,https://www.bklynlibrary.org/locations/mapleton,40.6231,-73.989442,POINT (-73.989442 40.6231)
Renaissance Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.821684,-73.941657,POINT (-73.941657 40.821684)
Loreto Playground,Park,NYC Parks,Not Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.848855,-73.852007,POINT (-73.852007 40.848855)
Schmidts Lane Recreation Fac.,Park,NYC Parks Concessionaire,Not Operational,Seasonal,Concession Operating Hours,,,,,,40.609563,-74.119642,POINT (-74.119642 40.609563)
Sara D. Roosevelt Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.718813,-73.993045,POINT (-73.993045 40.718813)
"Briarwood Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/briarwood,40.710043,-73.819454,POINT (-73.819454 40.710043)
"Queensbridge Tech Lab Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 12:00 pm - 8:00 pm 
Tuesday: Closed 
Wednesday: 12:00 pm - 8:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: Closed 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),No,"Yes, a key is needed to enter",https://www.queenslibrary.org/programs-activities/technology-training/queensbridge-tech-lab,40.754953,-73.944111,POINT (-73.944111 40.754953)
Jaime Campiz Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.713438,-73.954456,POINT (-73.954456 40.713438)
East Parade Grounds,Park,NYC Parks,Operational,Seasonal,Open by permit,Not Accessible,Multi-Stall W/M Restrooms,,,,40.650803,-73.968193,POINT (-73.968193 40.650803)
Poppenhusen Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.781418,-73.844513,POINT (-73.844513 40.781418)
Mazzei Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.862511,-73.858204,POINT (-73.858204 40.862511)
Playground Seventy Five,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.726381,-73.808427,POINT (-73.808427 40.726381)
227th Street Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.890828,-73.864062,POINT (-73.864062 40.890828)
Pat Parlato Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.577023,-73.946194,POINT (-73.946194 40.577023)
